chunk_size,chunking_scheme,dataset_size,machine,num_nodes,operation,runtime,worker_per_node
128MB,temporal,256.58 MB,cheyenne,1,temporal_mean,0.1702561378479004,2
128MB,temporal,256.58 MB,cheyenne,1,climatology,0.2903110980987549,2
128MB,temporal,256.58 MB,cheyenne,1,anomaly,1.6184542179107666,2
256MB,temporal,512.17 MB,cheyenne,1,global_mean,0.3327212333679199,2
256MB,temporal,512.17 MB,cheyenne,1,temporal_mean,0.32773303985595703,2
256MB,temporal,512.17 MB,cheyenne,1,climatology,0.5163946151733398,2
256MB,temporal,512.17 MB,cheyenne,1,anomaly,3.2218418121337886,2
512MB,temporal,1.02 GB,cheyenne,1,global_mean,0.634037971496582,2
512MB,temporal,1.02 GB,cheyenne,1,temporal_mean,0.5930953025817871,2
512MB,temporal,1.02 GB,cheyenne,1,climatology,0.9112064838409424,2
512MB,temporal,1.02 GB,cheyenne,1,anomaly,6.0518224239349365,2
8MB,temporal,32.45 MB,cheyenne,2,global_mean,0.07055068016052246,2
8MB,temporal,32.45 MB,cheyenne,2,temporal_mean,0.06782126426696777,2
8MB,temporal,32.45 MB,cheyenne,2,climatology,0.09277129173278807,2
8MB,temporal,32.45 MB,cheyenne,2,anomaly,0.21951580047607425,2
16MB,temporal,64.89 MB,cheyenne,2,global_mean,0.06307744979858397,2
16MB,temporal,64.89 MB,cheyenne,2,temporal_mean,0.05181336402893066,2
16MB,temporal,64.89 MB,cheyenne,2,climatology,0.0991196632385254,2
16MB,temporal,64.89 MB,cheyenne,2,anomaly,0.2881758213043213,2
32MB,temporal,128.78 MB,cheyenne,2,global_mean,0.08118605613708496,2
32MB,temporal,128.78 MB,cheyenne,2,temporal_mean,0.06331706047058105,2
32MB,temporal,128.78 MB,cheyenne,2,climatology,0.11309528350830078,2
32MB,temporal,128.78 MB,cheyenne,2,anomaly,0.5360608100891113,2
64MB,temporal,256.58 MB,cheyenne,2,global_mean,0.12500667572021484,2
64MB,temporal,256.58 MB,cheyenne,2,temporal_mean,0.10946488380432128,2
64MB,temporal,256.58 MB,cheyenne,2,climatology,0.2020719051361084,2
64MB,temporal,256.58 MB,cheyenne,2,anomaly,1.0735969543457031,2
128MB,temporal,512.17 MB,cheyenne,2,global_mean,0.18813037872314453,2
128MB,temporal,512.17 MB,cheyenne,2,temporal_mean,0.17806196212768555,2
128MB,temporal,512.17 MB,cheyenne,2,climatology,0.3063349723815918,2
128MB,temporal,512.17 MB,cheyenne,2,anomaly,2.780409812927246,2
